,pId,category
1661,4077,44P
1662,4084,41B
1663,4090,55G
1664,4095,19G
1665,4096,3B
1666,4097,19S
1667,4101,41B
1668,4105,12S
1669,4107,2B
1670,4108,2S
1671,4110,12G
1672,4111,19G
1673,4118,2B
1674,4130,15S
1675,4132,47S
1676,4134,50S
1677,4138,9G
1678,4139,51G
1679,4140,12G
1680,4141,51B
1681,4142,44P
1682,4143,61G
1683,4144,55B
1684,4153,4B
1685,4157,21P
1686,4158,17S
1687,4159,54S
1688,4160,20P
1689,4163,58G
1690,4167,4G
1691,4170,42G
1692,4172,19S
1693,4176,2B
1694,4179,1G
1695,4181,46P
1696,4183,26G
1697,4184,58G
1698,4189,12G
1699,4190,19S
1700,4191,24S
1701,4195,17G
1702,4196,14P
1703,4197,41B
1704,4198,19G
1705,4217,1G
1706,4219,16P
1707,4227,18S
1708,4233,50G
1709,4236,40S
1710,4238,55B
1711,4246,51B
1712,4256,53G
1713,4276,4G
1714,4277,4G
1715,4279,55B
1716,4283,4S
1717,4285,2B
1718,4286,4G
1719,4287,51B
1720,4289,41B
1721,4291,2B
1722,4297,21P
1723,4299,4B
1724,4305,14P
1725,4307,6S
1726,4312,4S
1727,4315,49G
1728,4320,4S
1729,4321,32S
1730,4322,32S
1731,4328,4B
1732,4332,30S
1733,4335,2S
1734,4340,2S
1735,4342,65G
1736,4343,14G
1737,4344,4B
1738,4345,51S
1739,4347,11S
1740,4349,31B
1741,4351,61S
1742,4353,4S
1743,4354,3P
1744,4355,39G
1745,4358,61S
1746,4361,19G
1747,4365,2B
1748,4368,61S
1749,4370,12S
1750,4373,20P
1751,4375,31S
1752,4376,12P
1753,4377,48S
1754,4378,51S
1755,4379,4G
1756,4383,2S
1757,4384,19P
1758,4385,2G
1759,4386,14G
1760,4388,4B
1761,4389,2S
1762,4391,30S
1763,4395,4S
1764,4396,51S
1765,4397,4S
1766,4399,51G
1767,4402,51B
1768,4403,19G
1769,4410,52S
1770,4411,41S
1771,4414,39G
1772,4418,2S
1773,4419,2G
1774,4420,11G
1775,4422,61G
1776,4426,4S
1777,4428,40S
1778,4429,67G
1779,4430,19G
1780,4435,2B
1781,4436,31B
1782,4438,46P
1783,4439,67G
1784,4442,21P
1785,4444,19P
1786,4446,51S
1787,4447,51B
1788,4452,2S
1789,4454,20S
1790,4455,2G
1791,4457,19G
1792,4458,51B
1793,4459,51B
1794,4461,31G
1795,4470,51B
1796,4471,7B
1797,4476,2S
1798,4483,51B
1799,4485,58G
1800,4486,55B
1801,4492,11S
1802,4493,2B
1803,4499,58G
1804,4500,51B
1805,4503,58P
1806,4504,4B
1807,4530,22S
1808,4531,51S
1809,4538,61G
1810,4539,55S
1811,4540,51S
1812,4548,51S
1813,4550,17G
1814,4552,11S
1815,4561,14G
1816,4562,2B
1817,4563,39G
1818,4564,2B
1819,4566,51B
1820,4568,2G
1821,4569,2S
1822,4571,41S
1823,4573,2B
1824,4574,2G
1825,4575,3B
1826,4576,10G
1827,4577,2G
1828,4580,16B
1829,4581,51B
1830,4582,2S
1831,4583,51B
1832,4586,53S
1833,4587,27S
1834,4589,2B
1835,4592,2B
1836,4593,51B
1837,4597,51B
1838,4600,2S
1839,4604,51S
1840,4606,51B
1841,4608,51S
1842,4609,58G
1843,4613,51B
1844,4614,32S
1845,4619,31B
1846,4620,19S
1847,4623,4B
1848,4625,15G
1849,4631,54B
1850,4635,41B
1851,4641,11B
1852,4643,33P
1853,4644,55S
1854,4646,55B
1855,4647,11S
1856,4650,14G
1857,4651,11G
1858,4652,51S
1859,4653,37G
1860,4654,54G
1861,4655,4B
1862,4656,51S
1863,4657,24G
1864,4658,47G
1865,4659,51S
1866,4660,2S
1867,4661,68G
1868,4662,17P
1869,4663,51G
1870,4664,17G
1871,4665,11G
1872,4666,42G
1873,4667,41S
1874,4668,51S
1875,4669,2S
1876,4670,2S
1877,4671,11G
1878,4672,66G
1879,4673,55S
1880,4674,32S
1881,4675,40B
1882,4676,51S
1883,4677,24S
1884,4678,32B
1885,4679,2S
1886,4680,11S
1887,4682,2B
1888,4683,58G
1889,4684,45G
1890,4685,11S
1891,4686,32G
1892,4687,55S
1893,4688,2G
1894,4689,32S
1895,4690,55B
1896,4691,51S
1897,4692,42G
1898,4693,51G
1899,4694,47G
1900,4695,40S
1901,4697,2B
1902,4706,4B
1903,4714,41B
1904,4716,15G
1905,4722,14G
1906,4727,4B
1907,4732,2B
1908,4740,51B
1909,4749,32B
1910,4752,3P
1911,4757,51B
1912,4758,2B
1913,4762,12G
1914,4766,4B
1915,4773,18S
1916,4774,4S
1917,4775,61S
1918,4779,53S
1919,4781,19G
1920,4782,4G
1921,4788,52P
1922,4789,48P
1923,4796,30S
1924,4797,51G
1925,4800,11P
1926,4803,35G
1927,4806,6B
1928,4810,36G
1929,4811,19G
1930,4812,1G
1931,4817,3G
1932,4821,51B
1933,4822,61G
1934,4824,2B
1935,4826,41B
1936,4828,18P
1937,4836,51S
1938,4839,50S
1939,4841,51B
1940,4843,4G
1941,4845,2P
1942,4848,3S
1943,4849,2G
1944,4850,4B
1945,4852,29S
1946,4863,52S
1947,4868,11G
1948,4872,51B
1949,4875,32S
1950,4877,4S
1951,4879,48G
1952,4880,4B
1953,4881,55S
1954,4882,13G
1955,4883,19S
1956,4884,41B
1957,4888,11G
1958,4889,18S
1959,4890,65B
1960,4891,39S
1961,4892,41B
1962,4893,1G
1963,4900,51S
1964,4902,16G
1965,4903,52B
1966,4905,56S
1967,4906,4G
1968,4907,4G
1969,4909,4B
1970,4910,32S
1971,4911,2S
1972,4912,51B
1973,4913,22G
1974,4919,32S
1975,4920,11S
1976,4921,2S
1977,4922,55B
1978,4923,2S
1979,4924,22P
1980,4927,32B
1981,4929,16S
1982,4932,41B
1983,4933,13G
1984,4934,12B
1985,4937,39S
1986,4938,2S
1987,4939,61S
1988,4943,43P
1989,4948,22S
1990,4949,18S
1991,4950,66G
1992,4951,43P
1993,4955,2S
1994,4956,1G
1995,4957,19S
1996,4962,2S
1997,4963,24S
1998,4964,7G
1999,4965,58P
2000,4966,65P
2001,4968,55B
2002,4969,22S
2003,4970,18G
2004,4971,58G
2005,4974,41B
2006,4975,2S
2007,4976,2G
2008,4977,8P
2009,4980,50S
2010,4981,61S
2011,4983,66G
2012,4987,11G
2013,4988,51S
2014,4989,58P
2015,4991,1G
2016,4992,18S
2017,4993,24S
2018,4994,42G
2019,4998,4B
2020,4999,3B
2021,5002,13S
2022,5006,1S
2023,5010,4P
2024,5011,1G
2025,5012,21P
2026,5013,51B
2027,5014,1G
2028,5015,19G
2029,5021,17G
2030,5022,1G
2031,5024,15S
2032,5026,51B
2033,5032,4B
2034,5033,35S
2035,5034,43G
2036,5035,4S
2037,5036,58P
2038,5040,51S
2039,5042,19P
2040,5043,4B
2041,5046,2S
2042,5048,24G
2043,5052,40G
2044,5054,4B
2045,5057,58G
2046,5058,20P
2047,5059,15S
2048,5060,19G
2049,5063,4B
2050,5067,19G
2051,5068,48P
2052,5069,19G
2053,5071,15G
2054,5073,4B
2055,5074,55B
2056,5076,18G
2057,5077,11S
2058,5079,19G
2059,5081,0G
2060,5086,4B
2061,5087,2B
2062,5088,2B
2063,5089,61B
2064,5093,51S
2065,5095,23G
2066,5100,2B
2067,5101,4B
2068,5102,41B
2069,5103,51B
2070,5104,61S
2071,5106,51S
2072,5107,8S
2073,5115,51S
2074,5127,41S
2075,5130,12S
2076,5132,19G
2077,5143,1G
2078,5151,2B
2079,5155,41B
2080,5163,55B
2081,5169,11B
2082,5171,51B
2083,5172,2S
2084,5175,11G
2085,5176,2B
2086,5177,3S
2087,5179,54S
2088,5180,11G
2089,5182,19G
2090,5184,15S
2091,5187,41B
2092,5190,4B
2093,5193,2B
2094,5195,51B
2095,5197,33S
2096,5200,12G
2097,5205,11B
2098,5206,36S
2099,5207,48G
2100,5208,47S
2101,5210,3B
2102,5211,51B
2103,5212,2S
2104,5213,1G
2105,5214,1G
2106,5217,2B
2107,5218,32B
2108,5219,51S
2109,5220,55B
2110,5221,3S
2111,5222,51B
2112,5228,32B
2113,5230,2S
2114,5235,41B
2115,5236,3B
2116,5237,24S
2117,5238,41B
2118,5239,2B
2119,5246,2B
2120,5247,14S
2121,5248,24S
2122,5256,6G
2123,5347,65S
2124,5354,2B
2125,5355,41B
2126,5361,4B
2127,5363,51B
2128,5371,11B
2129,5373,2P
2130,5375,19P
2131,5376,7S
2132,5378,24G
2133,5382,58G
2134,5384,33P
2135,5386,12P
2136,5389,31S
2137,5393,39S
2138,5397,13S
2139,5419,21P
2140,5421,14P
2141,5425,4G
2142,5426,51B
2143,5427,1G
2144,5429,1G
2145,5430,57G
2146,5444,19P
2147,5449,58P
2148,5461,5P
2149,5462,54S
2150,5463,19G
2151,5464,57S
2152,5465,1G
2153,5485,4G
2154,5489,2B
2155,5501,47S
2156,5502,19G
2157,5504,19G
2158,5506,67P
2159,5507,10P
2160,5508,11P
2161,5520,11G
2162,5523,2B
2163,5524,3B
2164,5525,3S
2165,5526,20G
2166,5527,19G
2167,5528,19P
2168,5529,36P
2169,5532,4B
2170,5533,41B
2171,5534,3S
2172,5535,19G
2173,5536,15G
2174,5538,51S
2175,5539,33S
2176,5540,19G
2177,5543,4B
2178,5544,2B
2179,5545,15S
2180,5546,19G
2181,5547,24G
2182,5549,16G
2183,5550,19G
2184,5551,58P
2185,5552,15P
2186,5555,3S
2187,5556,55S
2188,5557,19G
2189,5558,1G
2190,5560,16S
2191,5561,19G
2192,5562,57G
2193,5565,41B
2194,5566,2B
2195,5567,10S
2196,5568,17S
2197,5569,19G
2198,5572,19P
2199,5573,19P
2200,5575,41B
2201,5576,54B
2202,5577,18G
2203,5578,66G
2204,5580,19G
2205,5581,18S
2206,5582,19G
2207,5585,33B
2208,5586,51B
2209,5587,2S
2210,5588,11G
2211,5589,11S
2212,5590,58G
2213,5591,63S
2214,5592,54S
2215,5593,17G
2216,5596,41B
2217,5597,2B
2218,5598,51B
2219,5599,2S
2220,5600,2S
2221,5601,48S
2222,5602,54B
2223,5603,51B
2224,5604,53S
2225,5605,35G
2226,5606,21P
2227,5607,2B
2228,5608,61S
2229,5609,2S
2230,5612,2B
2231,5613,4B
2232,5614,40S
2233,5617,4B
2234,5618,31B
2235,5619,5S
2236,5622,2B
2237,5623,4S
2238,5624,19G
2239,5625,16G
2240,5626,19P
2241,5631,46G
2242,5635,54S
2243,5636,22S
2244,5637,3S
2245,5638,47S
2246,5639,49G
2247,5640,11G
2248,5641,22S
2249,5648,15S
2250,5656,3B
2251,5666,41B
2252,5667,2S
2253,5670,37P
2254,5671,11S
2255,5675,41B
2256,5676,21G
2257,5678,2B
2258,5679,41B
2259,5681,19G
2260,5691,4B
2261,5692,4B
2262,5696,4S
2263,5698,51B
2264,5702,11G
2265,5704,51B
2266,5705,48S
2267,5707,2G
2268,5710,55G
2269,5715,51B
2270,5717,4B
2271,5719,58P
2272,5721,19G
2273,5722,19G
2274,5723,2S
2275,5724,52B
2276,5725,2S
2277,5736,20G
2278,5738,54B
2279,5741,54S
2280,5743,58G
2281,5747,30S
2282,5751,2B
2283,5753,2B
2284,5758,56G
2285,5766,2S
2286,5768,31B
2287,5778,2B
2288,5781,2P
2289,5782,10G
2290,5783,58G
2291,5786,24G
2292,5787,11S
2293,5788,19G
2294,5789,51B
2295,5797,19G
2296,5800,54S
2297,5817,21P
2298,5818,14G
2299,5821,20P
2300,5827,36G
2301,5828,13P
2302,5829,9G
2303,5830,2G
2304,5831,10G
2305,5832,15G
2306,5833,43P
2307,5837,33G
2308,5838,40P
2309,5839,41S
2310,5840,2S
2311,5841,47S
2312,5844,19P
2313,5845,35P
2314,5846,28P
2315,5847,44G
2316,5848,10S
2317,5849,13G
2318,5850,24G
2319,5851,63P
2320,5852,1P
2321,5856,57G
2322,5857,36G
2323,5859,28G
2324,5864,19G
2325,5865,58G
2326,5866,2S
2327,5867,15G
2328,5868,24P
2329,5869,19P
2330,5872,33G
2331,5873,58G
2332,5874,52S
2333,5875,16G
2334,5876,47S
2335,5880,36P
2336,5881,19G
2337,5883,11S
2338,5884,46G
2339,5885,54S
2340,5886,24P
2341,5890,1G
2342,5891,21P
2343,5892,19P
2344,5893,55B
2345,5894,47G
2346,5895,17P
2347,5896,5P
2348,5898,60P
2349,5899,16G
2350,5900,48G
2351,5901,58G
2352,5902,11S
2353,5903,15G
2354,5904,53S
2355,5908,1P
2356,5909,19G
2357,5910,33P
2358,5911,15S
2359,5912,16S
2360,5913,47G
2361,5914,15P
2362,5917,58G
2363,5918,19G
2364,5919,55B
2365,5920,15P
2366,5921,11S
2367,5922,21P
2368,5925,1G
2369,5926,46G
2370,5927,19G
2371,5928,41B
2372,5929,32B
2373,5930,54S
2374,5931,1S
2375,5934,60G
2376,5935,65G
2377,5936,9G
2378,5937,14G
2379,5938,24S
2380,5939,15S
2381,5940,55B
2382,5942,4P
2383,5944,58G
2384,5945,12G
2385,5946,67S
2386,5947,11B
2387,5948,41B
2388,5949,3B
2389,5953,19S
2390,5954,19G
2391,5955,36P
2392,5956,53B
2393,5957,18S
2394,5958,24S
2395,5959,11B
2396,5962,21P
2397,5963,52S
2398,5964,13S
2399,5965,16G
2400,5966,13S
2401,5967,2S
2402,5968,42G
2403,5971,37G
2404,5972,58G
2405,5973,26G
2406,5974,4B
2407,5975,1S
2408,5976,2B
2409,5980,1G
2410,5982,19P
2411,5983,28G
2412,5984,2B
2413,5985,53S
2414,5986,24S
2415,5987,51B
2416,5988,4B
2417,5989,2B
2418,5990,3S
2419,5991,36S
2420,6001,62S
2421,6002,14G
2422,6003,11B
2423,6004,1S
2424,6005,11S
2425,6006,14P
2426,6008,19G
2427,6010,20S
2428,6011,15S
2429,6012,53S
2430,6013,11B
2431,6014,16B
2432,6018,28G
2433,6019,15S
2434,6020,19G
2435,6021,51B
2436,6022,54S
2437,6023,68S
2438,6027,15S
2439,6030,31B
2440,6031,24S
2441,6032,15S
2442,6036,53G
2443,6038,33G
2444,6039,31S
2445,6040,55B
2446,6041,11S
2447,6042,11S
2448,6050,19G
2449,6051,18G
2450,6052,31S
2451,6053,6S
2452,6054,58G
2453,6057,48G
2454,6059,49S
2455,6060,55B
2456,6062,43P
2457,6063,2P
2458,6064,39S
2459,6066,19G
2460,6067,24G
2461,6068,15G
2462,6069,2B
2463,6071,33S
2464,6072,9G
2465,6073,37P
2466,6076,19S
2467,6079,47G
2468,6080,24S
2469,6081,16B
2470,6087,1G
2471,6091,14P
2472,6092,19S
2473,6095,0G
2474,6096,19G
2475,6097,7B
2476,6098,4G
2477,6099,20G
2478,6100,5S
2479,6104,48G
2480,6105,13S
2481,6106,33S
2482,6107,11S
2483,6108,54S
2484,6109,19G
2485,6115,5G
2486,6118,1S
2487,6119,17S
2488,6120,12G
2489,6122,2B
2490,6123,15S
2491,6124,63S
2492,6125,49S
2493,6126,19S
2494,6127,11S
2495,6128,31S
2496,6129,1G
2497,6130,30S
2498,6131,31B
2499,6134,33P
2500,6135,14G
2501,6136,19G
2502,6137,33G
2503,6138,15S
2504,6139,41B
2505,6142,26P
2506,6143,33G
2507,6144,19S
2508,6146,1S
2509,6147,15S
2510,6148,47S
2511,6149,57S
2512,6156,14G
2513,6159,16S
2514,6160,54S
2515,6161,2B
2516,6162,55B
2517,6165,65S
2518,6166,1G
2519,6167,19G
2520,6168,11S
2521,6169,2B
2522,6170,19S
2523,6172,58P
2524,6173,33G
2525,6174,9S
2526,6175,1G
2527,6176,19G
2528,6177,54S
2529,6178,2S
2530,6179,9S
2531,6182,53S
2532,6183,33G
2533,6184,15G
2534,6185,14G
2535,6186,10S
2536,6187,47S
2537,6188,49S
2538,6189,1S
2539,6190,41B
2540,6191,1G
2541,6192,19S
2542,6193,19S
2543,6194,12P
2544,6195,5G
2545,6196,43P
2546,6197,58P
2547,6198,13G
2548,6199,11G
2549,6201,47S
2550,6203,54S
2551,6207,24S
2552,6208,19G
2553,6209,20G
2554,6211,47S
2555,6212,55B
2556,6213,21G
2557,6214,19G
2558,6216,15G
2559,6217,6G
2560,6218,21G
2561,6219,22S
2562,6220,19S
2563,6221,19S
2564,6226,1P
2565,6228,3S
2566,6229,1S
2567,6230,15S
2568,6231,17P
2569,6232,9P
2570,6233,63G
2571,6235,57G
2572,6236,20S
2573,6240,19P
2574,6242,26G
2575,6245,11S
2576,6246,2B
2577,6247,24S
2578,6248,58G
2579,6249,2B
2580,6260,51B
2581,6272,60P
2582,6279,52P
2583,6292,58P
2584,6315,6S
2585,6316,1G
2586,6318,41B
2587,6319,51G
2588,6321,51B
2589,6322,4B
2590,6323,4B
2591,6324,3S
2592,6325,57S
2593,6328,29G
2594,6335,2B
2595,6342,19P
2596,6354,10G
2597,6356,1G
2598,6358,48S
2599,6359,41B
2600,6360,2G
2601,6361,32B
2602,6362,19G
2603,6363,33G
2604,6365,51P
2605,6367,41B
2606,6368,2B
2607,6369,24P
2608,6370,4G
2609,6371,36P
2610,6372,2S
2611,6373,41S
2612,6374,11S
2613,6375,51S
2614,6376,4B
2615,6377,12P
2616,6378,55B
2617,6379,54S
2618,6380,18G
2619,6381,5G
2620,6382,29G
2621,6383,24G
2622,6384,12G
2623,6395,2P
2624,6397,51G
2625,6409,33S
2626,6410,47G
2627,6416,37G
2628,6420,32S
2629,6422,51S
2630,6423,2S
2631,6426,2B
2632,6436,41B
2633,6437,2B
2634,6438,51B
2635,6439,12G
2636,6443,52G
2637,6448,14G
2638,6463,39S
2639,6467,50S
2640,6469,55B
2641,6474,51B
2642,6476,51P
2643,6478,8G
2644,6479,41B
2645,6482,3G
2646,6487,12S
2647,6491,27B
2648,6493,3G
2649,6494,65S
2650,6495,61S
2651,6497,14G
2652,6498,19G
2653,6499,33S
2654,6500,41B
2655,6502,55B
2656,6503,3S
2657,6504,4S
2658,6505,3G
2659,6506,19G
2660,6508,55B
2661,6521,4G
2662,6523,14G
2663,6525,4S
2664,6528,58G
2665,6529,12P
2666,6531,19G
2667,6534,1G
2668,6536,9G
2669,6537,4S
2670,6538,51S
2671,6542,57S
2672,6543,14P
2673,6545,4S
2674,6546,2S
2675,6549,21P
2676,6550,33S
2677,6553,12S
2678,6554,12S
2679,6555,53S
2680,6556,52S
2681,6558,3S
2682,6562,54S
2683,6565,51B
2684,6567,38P
2685,6568,2G
2686,6571,48S
2687,6574,19G
2688,6576,53S
2689,6577,8G
2690,6579,18G
2691,6580,53S
2692,6581,3S
2693,6582,51S
2694,6584,29G
2695,6585,57S
2696,6587,38G
2697,6588,22S
2698,6589,61G
2699,6590,47G
2700,6591,52S
2701,6592,19G
2702,6593,1G
2703,6594,7G
2704,6595,14G
2705,6597,49G
2706,6598,14G
2707,6599,44S
2708,6600,4S
2709,6601,1S
2710,6603,52S
2711,6604,13S
2712,6605,5G
2713,6609,41B
2714,6612,6G
2715,6614,55P
2716,6615,37S
2717,6616,51S
2718,6627,55B
2719,6634,2S
2720,6635,51S
2721,6642,2B
2722,6645,51B
2723,6651,56S
2724,6652,51P
2725,6654,3G
2726,6662,22S
2727,6666,54S
2728,6672,14P
2729,6676,51S
2730,6677,2G
2731,6679,41B
2732,6688,24G
2733,6696,4B
2734,6700,53S
2735,6704,19P
2736,6713,19G
2737,6714,2S
2738,6716,11S
2739,6718,22S
2740,6721,32B
2741,6724,36G
2742,6725,14P
2743,6734,4P
2744,6747,24G
2745,6750,51B
2746,6751,11B
2747,6752,15S
2748,6753,10S
2749,6754,57S
2750,6755,24S
2751,6756,30S
2752,6757,4P
2753,6763,2B
2754,6764,2B
2755,6765,51B
2756,6766,51B
2757,6767,36G
2758,6768,52B
2759,6769,32B
2760,6770,54S
2761,6771,19G
2762,6772,66S
2763,6773,58G
2764,6778,2B
2765,6779,41B
2766,6780,2B
2767,6781,2S
2768,6782,11S
2769,6783,51B
2770,6784,2B
2771,6785,53S
2772,6786,33G
2773,6787,1G
2774,6794,4B
2775,6795,2B
2776,6796,2B
2777,6797,11S
2778,6798,1S
2779,6799,54B
2780,6800,51S
2781,6801,20G
2782,6802,14G
2783,6806,21P
2784,6808,4G
2785,6809,32S
2786,6810,41B
2787,6811,41B
2788,6812,41B
2789,6813,51S
2790,6814,36G
2791,6850,12P
2792,6851,40S
2793,6881,24G
2794,6882,58G
2795,6884,22S
2796,6885,19G
2797,6965,51B
2798,6970,51B
2799,6971,31S
2800,6972,2S
2801,6973,61S
2802,6974,4B
2803,6975,31B
2804,6976,55B
2805,6977,47S
2806,6978,32S
2807,6979,11B
2808,6980,54B
2809,6982,53S
2810,6983,51S
2811,6984,29G
2812,6985,1G
2813,6986,54S
2814,6987,47G
2815,6988,20G
2816,6992,55B
2817,6993,51B
2818,6994,12G
2819,6995,2B
2820,6996,54B
2821,6997,51B
2822,6998,49G
2823,7004,5G
2824,7005,2S
2825,7015,2B
2826,7016,41S
2827,7017,2G
2828,7030,19G
2829,7041,33P
2830,7042,28P
2831,7043,15S
2832,7044,14G
2833,7045,60G
2834,7046,49G
2835,7048,52P
2836,7052,19P
2837,7095,4S
2838,7107,36S
2839,7112,31P
2840,7113,65S
2841,7114,31S
2842,7115,55S
2843,7116,55G
2844,7117,42P
2845,7120,3B
2846,7121,65S
2847,7140,58G
2848,7141,56P
2849,7142,14G
2850,7146,56G
2851,7147,56P
2852,7155,4G
2853,7159,2S
2854,7161,59P
2855,7286,2B
2856,7292,51S
2857,7299,24G
2858,7304,15S
2859,7308,7G
2860,7318,13S
2861,7326,55B
2862,7340,19G
2863,7343,12G
2864,7344,33G
2865,7345,55S
2866,7346,19G
2867,7347,55S
2868,7348,2S
2869,7360,41B
2870,7365,15S
2871,7366,51B
2872,7367,55S
2873,7368,2S
2874,7370,47S
2875,7374,4S
2876,7385,19P
2877,7386,54B
2878,7390,16S
2879,7397,55S
2880,7399,51S
2881,7403,12P
2882,7411,32B
2883,7419,20S
2884,7420,12P
2885,7421,51G
2886,7425,11S
2887,7432,37G
2888,7441,11S
2889,7450,15G
2890,7453,46G
2891,7475,4G
2892,7476,19G
2893,7481,4B
2894,7482,4B
2895,7483,15P
2896,7484,2S
2897,7489,4B
2898,7490,47G
2899,7507,54S
2900,7510,4B
2901,7511,28G
2902,7512,22G
2903,7513,51B
2904,7515,19S
2905,7516,50G
2906,7517,47G
2907,7523,4B
2908,7525,50G
2909,7532,2S
2910,7535,10G
2911,7538,4S
2912,7546,41S
2913,7549,4G
2914,7550,2S
2915,7558,50G
2916,7561,4G
2917,7562,1S
2918,7563,11S
2919,7567,51B
2920,7568,11S
2921,7569,1G
2922,7570,19G
2923,7571,62S
2924,7572,41B
2925,7573,11G
2926,7575,3P
2927,7576,1G
2928,7578,21P
2929,7579,19G
2930,7581,4B
2931,7582,2B
2932,7583,51B
2933,7584,2B
2934,7585,18S
2935,7586,51B
2936,7587,3S
2937,7595,2B
2938,7596,15S
2939,7597,2B
2940,7598,2B
2941,7599,51B
2942,7600,51B
2943,7601,2B
2944,7602,2S
2945,7604,37G
2946,7619,33G
2947,7620,19G
2948,7628,4G
2949,7629,52G
2950,7635,51G
2951,7637,51B
2952,7639,4S
2953,7640,17S
2954,7656,3S
2955,7657,19P
2956,7659,36P
2957,7662,5G
2958,7668,39S
2959,7669,24S
2960,7676,15S
2961,7677,23G
2962,7678,37G
2963,7680,51G
2964,7682,2G
2965,7695,19G
2966,7696,11S
2967,7734,38S
2968,7742,37P
2969,7770,4B
2970,7771,56G
2971,7774,15S
2972,7775,30G
2973,7785,17S
2974,7787,12P
2975,7789,50B
2976,7790,3B
2977,7795,46S
2978,7800,54S
2979,7805,54B
2980,7806,22G
2981,7808,3S
2982,7812,34P
2983,7827,24S
2984,7831,36P
2985,7848,2S
2986,7851,1P
2987,7853,2G
2988,7858,9G
2989,7861,19S
2990,7863,2S
2991,7868,31G
2992,7869,4G
2993,7873,24S
2994,7878,0P
2995,7881,22G
2996,7891,41B
2997,7894,4G
2998,7900,4S
2999,7901,53G
3000,7908,4S
3001,7911,26P
3002,7913,4P
3003,7921,55B
3004,7922,4G
3005,7946,15S
3006,7947,41B
3007,7953,1G
3008,7967,47S
3009,7976,19G
3010,7977,33G
3011,7981,9P
3012,7982,6G
3013,7983,15G
3014,7989,15G
3015,7998,19G
3016,8002,11S
3017,8004,4P
3018,8006,58P
3019,8012,37P
3020,8017,0G
3021,8020,19G
3022,8029,2S
3023,8030,15S
3024,8031,22G
3025,8042,11G
3026,8050,15S
3027,8053,3P
3028,8061,1S
3029,8068,58P
3030,8073,14S
3031,8077,19G
3032,8087,44G
3033,8094,15S
3034,8095,19G
3035,8096,52P
3036,8098,19G
3037,8101,4G
3038,8110,18G
3039,8111,42P
3040,8112,42P
3041,8114,19G
3042,8115,58G
3043,8117,31S
3044,8120,21G
3045,8121,9P
3046,8124,15P
3047,8129,19P
3048,8142,24G
3049,8166,62P
3050,8184,24S
3051,8188,20P
3052,8196,15P
3053,8198,17P
3054,8221,21P
3055,8229,33P
3056,8244,10P
3057,8245,51B
3058,8246,4B
3059,8247,6G
3060,8248,12G
3061,8270,2B
3062,8273,6S
3063,8279,4G
3064,8286,37P
3065,8290,56G
3066,8295,31B
3067,8296,2S
3068,8297,33S
3069,8298,26G
3070,8300,19G
3071,8312,52S
3072,8314,10P
3073,8320,55B
3074,8322,55P
3075,8337,4G
3076,8345,51B
3077,8346,4S
3078,8362,46S
3079,8364,52G
3080,8371,51B
3081,8381,19P
3082,8387,3B
3083,8388,19P
3084,8393,55B
3085,8394,48S
3086,8416,39B
3087,8417,51B
3088,8419,4S
3089,8421,39G
3090,8436,51B
3091,8441,21P
3092,8446,4G
3093,8479,33P
3094,8529,26S
3095,8535,28P
3096,8537,51B
3097,8538,61B
3098,8539,15S
3099,8541,5G
3100,8545,2B
3101,8546,4B
3102,8547,5G
3103,8548,16G
3104,8553,19G
3105,8555,43P
3106,8558,4B
3107,8559,39B
3108,8560,62S
3109,8561,58G
3110,8562,53G
3111,8563,4S
3112,8564,34G
3113,8574,12B
3114,8582,19S
3115,8586,16S
3116,8595,3B
3117,8598,1S
3118,8599,16G
3119,8608,65S
3120,8610,51B
3121,8611,55B
3122,8624,4B
3123,8632,28P
3124,8633,3S
3125,8634,41S
3126,8635,51B
3127,8637,15S
3128,8638,2B
3129,8639,14G
3130,8640,4G
3131,8641,17S
3132,8642,39S
3133,8643,19S
3134,8658,39B
3135,8659,2B
3136,8660,4B
3137,8661,4B
3138,8662,33S
3139,8663,55B
3140,8664,2B
3141,8665,19S
3142,8666,15S
3143,8667,40S
3144,8668,4B
3145,8669,2B
3146,8670,2B
3147,8671,55S
3148,8672,19S
3149,8673,15S
3150,8674,4B
3151,8675,16S
3152,8676,2B
3153,8677,19S
3154,8678,4B
3155,8679,40G
3156,8680,37S
3157,8681,9S
3158,8682,65S
3159,8684,19G
3160,8685,19S
3161,8690,62G
3162,8710,4B
3163,8711,2B
3164,8712,2B
3165,8713,41B
3166,8714,2B
3167,8715,2B
3168,8716,4B
3169,8717,2B
3170,8718,55B
3171,8719,41B
3172,8720,2B
3173,8721,2B
3174,8722,4B
3175,8723,4B
3176,8724,2B
3177,8725,2B
3178,8726,12S
3179,8727,55B
3180,8728,2B
3181,8729,65S
3182,8731,33B
3183,8737,17S
3184,8741,55B
3185,8744,2B
3186,8757,58G
3187,8760,4B
3188,8772,51B
3189,8774,13S
3190,8782,57S
3191,8785,12P
3192,8796,1G
3193,8804,51B
3194,8805,55B
3195,8806,4B
3196,8807,15S
3197,8808,4S
3198,8810,12G
3199,8815,4B
3200,8816,52B
3201,8817,12S
3202,8818,4B
3203,8819,31B
3204,8820,55S
3205,8827,31B
3206,8846,39B
3207,8847,12S
3208,8851,9G
3209,8857,19S
3210,8870,4S
3211,8882,15P
3212,8891,55S
3213,8892,3S
3214,8893,2G
