,pId,category
399,1588,53G
400,1590,31S
401,1592,2B
402,1593,63G
403,1595,49G
404,1598,4B
405,1599,3G
406,1600,1G
407,1601,1G
408,1602,14P
409,1604,12P
410,1606,4S
411,1607,48G
412,1612,39S
413,1613,14G
414,1614,4S
415,1615,21P
416,1620,17S
417,1621,19G
418,1622,3S
419,1623,60G
420,1629,23S
421,1630,22G
422,1631,52G
423,1633,19S
424,1635,6G
425,1636,33S
426,1637,20P
427,1639,11S
428,1640,6G
429,1643,55S
430,1644,22G
431,1645,54S
432,1646,37P
433,1647,14G
434,1649,44P
435,1652,51B
436,1653,67P
437,1654,20S
438,1655,5G
439,1660,19S
440,1661,46G
441,1662,13G
442,1663,19G
443,1664,11G
444,1667,26P
445,1668,2B
446,1669,4S
447,1670,48G
448,1672,2B
449,1673,55B
450,1676,4S
451,1677,19G
452,1679,1S
453,1680,2S
454,1681,11B
455,1684,65G
456,1686,1G
457,1687,11G
458,1688,12P
459,1689,15G
460,1691,19G
461,1694,2S
462,1695,19G
463,1697,1S
464,1699,48S
465,1700,33G
466,1701,3G
467,1702,58P
468,1703,55B
469,1704,67P
470,1706,54S
471,1707,24G
472,1708,12P
473,1709,12S
474,1711,11S
475,1712,4B
476,1713,2S
477,1715,5G
478,1716,4S
479,1717,0G
480,1718,51B
481,1719,58G
482,1720,48G
483,1721,47G
484,1722,52G
485,1723,46G
486,1725,21P
487,1726,1G
488,1727,15G
489,1728,31P
490,1729,47G
491,1730,2S
492,1731,4B
493,1735,65S
494,1736,33G
495,1737,19G
496,1738,14G
497,1740,4S
498,1742,48P
499,1743,24S
500,1744,15G
501,1747,22S
502,1748,55S
503,1749,11G
504,1750,48G
505,1753,58G
506,1754,48P
507,1755,7S
508,1756,2G
509,1757,19G
510,1758,15S
511,1759,38G
512,1761,37P
513,1764,61S
514,1765,28G
515,1766,5G
516,1768,46S
517,1769,51S
518,1773,55B
519,1774,14G
520,1777,21P
521,1778,35S
522,1780,53S
523,1781,5G
524,1783,33S
525,1784,6G
526,1786,3P
527,1788,48S
528,1789,30S
529,1790,55S
530,1793,19S
531,1795,36G
532,1796,19G
533,1797,40G
534,1798,12G
535,1799,47G
536,1800,58G
537,1801,19P
538,1802,3S
539,1806,12G
540,1810,58G
541,1811,51B
542,1812,31S
543,1813,6B
544,1816,31S
545,1817,33S
546,1818,12G
547,1821,11S
548,1822,40S
549,1823,19G
550,1824,14P
551,1826,5G
552,1827,11G
553,1828,1G
554,1829,21P
555,1833,14G
556,1834,4B
557,1835,57S
558,1837,31B
559,1838,15G
560,1840,2G
561,1843,22G
562,1846,56G
563,1849,21P
564,1850,65S
