,Implementation,Mathematics,GraphTheory,DynamicProgramming,String,Bruteforcing,DataStructures,Greedy,GraphTraversal,Sorting,Breadth_firstSearch,NumberTheory,Simulation,Arithmetic,Geometry,BinarySearch,Depth_firstSearch,PrefixSum,Constructive,Combinatorics,Tree,Ad_hoc,Dijkstra's,SetMapByHashing,Backtracking,Bitmask,Stack,Two_pointer,SetMapByTrees,PrimalityTest,PriorityQueue,SegmentTree,DisjointSet,Recursion,SieveOfEratosthenes,Knapsack,EuclideanAlgorithm,ProbabilityTheory,ExponentiationBySquaring,GameTheory,Floyd_warshall,DivideAndConquer,ParametricSearch,MinimumSpanningTree,TopologicalSorting,DynamicProgrammingOnTrees,ValueCoordinateCompression,SlidingWindow,Deque,Queue,LongestIncreasingSequenceInO(nLogN),Hashing,0_1Bfs,TravellingSalesmanProblem
SieveOfEratosthenes,7,100,5,6,3,15,2,1,4,2,2,100,2,0,0,2,0,6,1,1,0,0,1,0,1,0,0,2,0,100,1,0,1,0,100,1,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Knapsack,1,5,7,94,0,3,2,6,5,6,0,2,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,99,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0
EuclideanAlgorithm,13,92,2,0,4,16,2,4,2,2,1,92,2,0,3,2,1,2,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,4,1,0,92,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ProbabilityTheory,10,91,3,36,5,15,2,6,2,5,0,1,2,3,3,1,1,1,0,17,1,3,1,0,0,3,1,0,0,0,0,0,0,2,0,0,0,91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ExponentiationBySquaring,9,87,7,11,3,2,1,0,1,1,0,21,3,0,0,0,0,0,0,13,0,0,0,1,0,1,0,0,0,4,0,0,0,0,3,0,0,0,87,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
GameTheory,1,20,2,29,0,0,4,8,1,2,0,4,0,0,1,1,1,1,0,1,1,3,0,2,1,1,0,0,0,2,1,1,0,0,1,0,2,0,0,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Floyd_warshall,2,0,78,6,2,5,4,0,20,0,8,0,0,0,2,1,5,0,6,0,0,1,13,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,78,0,0,0,1,0,1,0,0,0,0,0,0,0
DivideAndConquer,10,13,2,4,8,4,18,4,2,5,0,1,0,0,2,1,2,4,1,0,3,2,0,1,0,0,10,0,1,0,0,13,0,33,0,0,1,1,3,1,0,76,0,0,0,0,0,0,0,0,0,0,0,0
ParametricSearch,2,11,8,3,0,5,1,9,7,4,4,0,1,0,5,61,1,4,0,0,1,1,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69,0,1,0,0,0,0,0,0,0,1,0
MinimumSpanningTree,4,0,65,0,1,3,8,2,9,1,3,0,1,0,2,5,3,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0
TopologicalSorting,3,0,63,20,1,3,10,3,13,3,3,0,0,0,1,2,8,0,0,0,3,0,1,4,0,0,1,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,1,0,63,1,0,0,1,0,0,0,0,0
DynamicProgrammingOnTrees,0,3,22,60,2,0,2,5,20,2,2,0,0,0,0,0,15,0,1,1,60,2,1,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,0,0,0
ValueCoordinateCompression,4,4,6,5,0,5,23,2,5,13,4,0,0,0,2,5,3,10,0,1,1,1,2,4,0,0,0,1,2,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,49,0,0,0,0,0,0,0
SlidingWindow,5,3,0,9,9,4,10,2,0,2,0,2,1,0,0,2,0,11,0,1,1,0,0,0,0,0,0,9,1,1,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,47,5,2,0,0,0,0
Deque,15,0,1,3,7,1,37,6,1,3,0,0,6,0,0,1,1,1,0,0,0,1,0,0,0,0,3,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,37,1,0,0,0,0
Queue,25,1,1,1,1,0,37,4,1,1,1,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,37,0,0,0,0
LongestIncreasingSequenceInO(nLogN),0,1,0,8,0,1,3,3,0,4,0,1,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
Hashing,1,0,1,0,9,3,8,0,1,0,1,0,0,0,0,3,0,2,0,0,0,1,0,6,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
0_1Bfs,3,0,20,2,0,1,1,0,11,0,5,0,1,0,0,1,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0
TravellingSalesmanProblem,0,0,3,8,0,2,0,1,2,1,1,0,0,0,1,0,1,0,1,0,0,1,2,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
